"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
283,106.25,145.93,481.6,100,150.18,15.89,0,150.18,2.99
284,106.67,145.45,449.49,150,149.7,15.85,0,149.7,2.39
285,102.22,145.57,441.39,300,149.82,16.19,100,149.82,2.39
286,106.67,145.58,448.12,300,148.93,17.04,0,148.93,2.54
287,109.09,145.71,446.18,66.67,150.09,24.29,0,150.09,2.55
288,104.44,145.59,444.12,300,149.84,16.65,100,149.84,2.49
289,109.09,145.6,446.03,150,148.95,16.83,200,148.95,2.41
290,106.52,145.84,465.08,250,147.92,17.63,100,147.92,2.67
291,108.7,145.13,467.11,100,149.38,16.91,200,149.38,3.88
292,108.7,144.77,462.58,100,149.4,16.14,0,149.4,3.02
293,110.64,144.45,463.9,150,148.57,16.43,0,148.57,2.78
294,108.89,145.47,450.3,150,148.05,16.19,0,145.86,2.64
295,106.52,144.83,454.02,150,147.55,16.28,0,147.55,2.46
296,108.89,144.72,452.73,150,146.94,16.43,0,146.94,2.6
297,104.35,144.66,451,300,149.03,15.7,0,149.03,2.3
298,108.89,144.02,449.51,200,147.38,23.49,0,147.38,2.35
299,104.44,144.65,447.25,200,148.9,16.33,0,148.9,2.47
300,102.17,144.79,451.25,400,149.04,16.6,0,149.04,2.52
301,109.09,144.54,445.97,200,147.54,16.66,0,147.54,2.45
302,104.44,144.32,447.28,125,148.57,35.82,0,148.57,5.11
303,106.67,144.21,439.72,300,148.46,15.94,0,148.46,2.5
304,104.26,144.25,461.31,200,148.5,16.24,0,148.5,2.59
305,108.89,144.42,447.76,300,147.77,15.89,100,147.77,3.09
306,108.89,144.3,452.42,100,148.68,15.39,0,148.68,2.37
307,106.82,144.01,441.61,150,148.39,15.85,0,148.39,2.31
308,106.82,144.14,438.69,100,148.39,15.26,0,148.39,2.35
309,104.65,144.22,427.92,150,148.47,22.63,0,148.47,2.47
310,109.52,144.23,418.64,150,148.48,16.88,100,148.48,2.89
311,106.52,143.79,465.39,100,148.04,15.8,0,148.04,2.39
312,102.04,143.75,491.34,200,148,16.15,0,148,2.4
313,106.67,143.36,448.13,150,147.74,16.21,0,147.74,2.51
314,106.82,143.37,436.71,200,146.85,17.53,0,146.85,3.37
315,113.04,144.01,461.48,166.67,146.23,27.76,300,146.23,8.73
316,108.7,144.33,457.7,200,147.75,17.26,0,147.75,2.82
317,111.11,144.53,447.43,150,147.14,17.47,0,147.39,2.57
