"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
43,159.38,1568.86,3838.82,235.47,1588.74,1723.37,0,1588.74,2
44,152.7,1568.93,3888.84,237.28,1588.35,1687.55,0,1588.35,1.94
45,154.31,1568.66,3832.41,236.69,1588.8,1688.05,0,1588.8,1.99
46,165.03,1568.81,3862.74,238.1,1588.74,1675.6,0,1588.74,2.04
47,155.32,1568.91,3848.21,236.09,1598.23,1688.59,0,1598.23,1.98
48,157.92,1578.31,3848.86,239.29,1598.29,1685.38,0,1598.29,2.09
49,159.84,1578.44,3856.6,234.3,1598.13,1719.63,0,1598.13,1.98
50,153.68,1578.29,3789.79,237.28,1598.31,1689.13,0,1598.31,1.96
51,160.87,1578.41,3906.66,234.94,1598.52,1666.08,0,1598.52,1.99
52,154.83,1578.47,3830.15,230,1598.57,1704.34,0,1598.57,2.18
53,154.21,1578.61,3793.13,235.84,1598.73,1730.93,0,1598.73,2.73
54,155.21,1578.71,3838.89,234.91,1598.3,1684.9,0,1598.3,1.97
55,154.31,1578.39,3829.04,228,1598.19,1745.61,0,1598.19,1.97
56,153.02,1578.26,3802.38,236.47,1607.94,1705.76,0,1607.94,2
57,157.33,1588.08,3883.46,235.09,1608.09,1706.78,0,1608.09,1.95
58,152.73,1588.25,3845.66,234.88,1607.77,1726.12,0,1607.77,1.95
59,153.37,1588.04,3852.97,234.32,1617.37,1688.07,0,1617.37,1.98
60,158.96,1597.69,3845.42,230.06,1617.7,1733.27,0,1617.7,2
61,153.66,1597.92,3818.07,235.71,1617.6,1680.9,0,1617.6,1.98
62,159.69,1597.78,3824.51,233.73,1617.6,1683.51,0,1617.6,2
63,159.38,1597.71,3839.05,235.67,1617.54,1711.57,0,1617.54,2
64,155.56,1597.74,3866.38,237.79,1617.57,1720.8,0,1617.57,3.05
65,153.26,1597.64,3834.62,235.93,1617.61,1669.77,200,1617.61,1.97
66,153.26,1597.71,3830.91,237.5,1617.5,1684.68,0,1617.5,1.98
67,154.69,1597.71,3843.12,230.46,1617.47,1741.76,100,1617.47,2.88
68,153.25,1597.52,3853.33,236.26,1617.46,1709.49,0,1617.46,1.95
69,155.82,1597.42,3778.39,236.84,1617.62,1707.59,0,1617.62,2
70,155.67,1597.93,3877.02,236.09,1617.55,1687.22,0,1617.55,1.95
71,154.83,1597.63,3829.4,233.33,1627.01,1707.34,0,1627.01,1.95
72,152.82,1607.09,3895.42,230.23,1626.87,1721.76,0,1626.87,2.09
73,151.55,1607.36,3880.58,236.26,1627.13,1711.3,0,1627.13,2.95
74,151.7,1607.2,3826.29,233.73,1627.16,1693.14,0,1627.16,1.96
75,153.77,1607.23,3851.88,238.82,1627.25,1700.42,0,1627.25,2.02
76,150.77,1607.16,3912.89,236.99,1631.87,1735.66,0,1631.87,2.02
77,153.26,1611.8,3834.76,235.93,1631.91,1664.41,0,1631.91,2.01
78,153.14,1612.05,3816.36,237.06,1632.01,1697.47,0,1632.01,2.04
79,153,1612.1,3833.19,235.12,1631.8,1677.96,100,1631.8,1.97
80,154.38,1611.93,3887.83,232.16,1632,1703.18,0,1632,1.98
81,152.32,1612.13,3874.77,233.14,1631.68,1725.87,0,1631.68,1.98
82,153.11,1611.73,3863.63,235.12,1631.79,1677.23,0,1631.79,1.95
83,154.71,1611.94,3816.32,236.69,1632.11,1686.55,0,1632.11,2.02
84,153.52,1612.17,3828.8,234.3,1632.07,1722.28,0,1632.07,1.99
85,153.75,1612.2,3860.08,236.9,1631.97,1678.6,0,1631.97,2
86,153.95,1612.04,3805.76,233.53,1631.88,1693.56,0,1631.88,1.95
87,154.66,1612.05,3858.93,231.98,1632.04,1717.3,0,1632.04,2.11
88,152.23,1612.32,3804,237.87,1631.65,1688.79,0,1631.65,2.01
89,155.12,1611.7,3813.21,232.76,1631.94,1734,0,1631.94,1.95
90,153.81,1612.31,3805.68,236.69,1631.9,1693.53,200,1631.9,2.92
91,154.07,1611.86,3811.33,230.23,1631.96,1718.39,0,1631.96,2.87
92,155.12,1611.91,3809.42,234.5,1631.88,1706.43,0,1631.88,3.04
93,153.95,1612.02,3798.78,230.41,1631.95,1701.9,0,1631.95,1.98
94,152.48,1612.03,3835.26,231.98,1631.7,1713.48,0,1631.7,1.97
95,154.4,1612.06,3855.36,229.14,1632.15,1748.9,0,1632.15,2.5
96,155.41,1612.08,3789.14,236.84,1632.16,1705.09,0,1632.16,1.98
97,153.39,1612.27,3835.14,235.26,1632.03,1735.05,0,1632.03,1.96
98,153.91,1612.26,3838.22,237.87,1631.94,1687.34,0,1631.94,2.01
99,154.21,1612.11,3794.99,234.3,1631.8,1716.66,0,1631.8,1.95
100,154.33,1611.98,3804.04,233.33,1632.14,1709.19,0,1632.14,1.97
101,153.52,1612.26,3831.6,232.95,1632.2,1727.04,0,1632.2,1.94
102,151.41,1612.32,3887.23,234.68,1632.15,1733.57,0,1632.15,2.04
103,154.74,1612.11,3800.29,233.53,1632.18,1727.6,0,1632.18,2
104,153.54,1612.2,3813.83,234.1,1632.17,1728.02,0,1632.17,2.03
105,152.47,1612.57,3840.88,234.68,1632.21,1733.85,0,1632.21,2.27
106,154.35,1612.14,3788.52,234.91,1632.01,1690.27,0,1632.01,2.16
107,153.14,1612.26,3819.71,232.76,1632.07,1745.8,100,1632.07,2.04
108,155.26,1612.25,3806.22,231.76,1632.11,1691.31,0,1632.11,1.99
109,153.39,1612,3842.48,232.37,1632.15,1729.69,0,1632.15,2.02
110,155.41,1612.31,3785.49,236.84,1632.25,1712.29,0,1632.25,1.93
111,155.53,1612.36,3895.61,237.06,1632.04,1696.26,0,1632.04,2
112,153.95,1612.36,3796.24,232.75,1632.25,1705.49,0,1632.25,1.96
113,154.03,1612.29,3848.21,236.31,1632.23,1678.71,0,1632.23,1.98
114,154.76,1612.34,3887,230.81,1631.89,1716.37,0,1631.89,2.04
115,154.33,1611.93,3809.12,235.71,1632.13,1679.43,0,1632.13,1.96
116,155.94,1612.23,3782.02,233.14,1632.01,1696.54,0,1632.01,1.97
117,154.45,1612.23,3817.61,236.9,1631.88,1679.55,0,1631.88,1.99
118,154.07,1612.04,3814.9,233.53,1632.08,1697.19,0,1632.08,1.94
119,157.07,1612.24,3889.15,234.48,1632.35,1740.23,100,1632.35,2.02
120,152.99,1612.17,3856.43,234.32,1632.21,1680.82,0,1632.21,1.94
121,155,1612.29,3800.64,234.71,1632.22,1698.2,0,1632.22,1.94
122,151.41,1612.35,3883.98,232.95,1632.16,1727.74,0,1632.16,1.99
123,153.68,1612.29,3800.62,236.69,1632.44,1685.89,0,1632.44,1.98
124,155.5,1612.46,3825.41,235.5,1632.09,1687.34,100,1632.09,2.03
125,156.25,1612.27,3843.75,233.53,1632.09,1698.67,0,1632.09,1.96
126,158.22,1612.16,3828.63,235.5,1632.32,1690.77,0,1632.32,1.95
127,157.14,1612.25,3849.95,236.26,1645.35,1714.2,100,1645.35,1.92
128,155.21,1625.66,3840.42,233.53,1645.64,1704.38,0,1645.64,2.06
129,153.68,1625.81,3798.41,235.47,1645.49,1710.04,0,1645.49,2.04
130,153.54,1625.7,3808.87,231.58,1645.61,1708.75,0,1645.61,2.07
131,157.92,1625.7,3847.59,233.72,1655.01,1717.86,0,1655.01,1.99
132,154.17,1635.31,3839.84,237.87,1655.11,1691.53,0,1655.11,2.03
133,154.21,1635.24,3806.94,233.72,1654.93,1716.29,0,1654.93,2.03
134,153.25,1635.15,3850.01,231.79,1655.15,1722.64,0,1655.15,1.99
135,152.85,1635.28,3859.38,234.12,1655.21,1694.83,0,1655.21,2
136,153.13,1635.4,3839.52,232.95,1655.37,1725.33,0,1655.37,2.14
137,155.26,1635.29,3804.25,236.84,1655.27,1702.52,0,1655.27,1.98
138,153.73,1635.23,3894.54,236.47,1664.54,1694.16,0,1664.54,2.07
139,154.33,1644.71,3802.53,232.56,1664.82,1720.69,0,1664.82,1.99
140,155.58,1644.81,3852.41,235.5,1664.73,1690.02,0,1664.73,2
141,152.97,1644.95,3873.66,234.71,1674.12,1696.12,0,1674.12,1.98
142,151.68,1654.38,3865.63,231.21,1674.18,1732.2,0,1674.18,1.95
143,154.07,1654.23,3804.87,232.56,1674.08,1716.15,0,1674.08,2.06
144,153.55,1654.21,3935.15,254.05,1674.32,1857.39,0,1674.32,2.75
145,164.78,1654.19,4231.56,250.77,1674.19,1947.43,0,1674.19,2.81
146,170.65,1654.78,4013.22,235.5,1674.38,1693.11,0,1674.38,1.97
147,153.75,1654.59,3865.52,235.88,1674.26,1699.92,0,1674.26,1.98
148,153.52,1654.39,3824.72,234.71,1674.31,1698.72,0,1674.31,2.18
149,152.96,1654.54,3882.94,234.3,1674.06,1720.91,0,1674.06,2
150,153.83,1654.34,3790.74,235.88,1674.37,1697.39,0,1674.37,2.08
151,153.3,1654.32,3785.82,230,1674.46,1699.82,0,1674.46,1.97
152,153.52,1654.35,3830.22,232.18,1674.28,1731.56,0,1674.28,1.97
153,152.86,1654.38,3841.19,237.87,1674.36,1684.41,0,1674.36,2
154,154.19,1654.47,3821.37,232.95,1674.3,1724.2,0,1674.3,2.02
155,155.29,1654.48,3779,235.12,1674.54,1684.25,100,1674.54,2.14
156,152.86,1654.69,3840.73,236.05,1674.52,1722.39,0,1674.52,1.98
